 ID   NAME                    SEGMENT                                                            AADT     YEAR   LEN         LOCATION
 75   MURPHY RD.         "TB LINE"-PIERCE CREEK RD.              570    2010   0.61   Binghamton (town)

 76   MURPHY RD.         CONKLIN FORKS RD.-"TB LINE"            1,070   2004   2.27             Conklin

343   MURRAY HILL RD     NYS 434-OXFORD DR                      5,750   2002   0.55              Vestal

344   MURRAY HILL RD     OLD VESTAL RD-NYS 434                  3,510   2007   0.05              Vestal

345   MURRAY HILL RD     OXFORD DR-WILDWOOD DR                  5,750   1999   0.91              Vestal

346   MURRAY HILL RD     WILDWOOD DR-POWDERHOUSE RD             2,930   1999   0.05              Vestal

214   MYGATT ST          NY17 EXIT RAMP-CLINTON ST              3,070   2011   0.56    Binghamton (city)

320   N PAGE AVE         "TU LINE"-W FRANKLIN ST                3,050   2010   0.20               Union

368   N.McKINLEY AVE     PINE ST-WATSON BLVD                    7,440   2011   0.38             Endicott

369   N.McKINLEY AVE     WATSON BLVD-CONRAIL                    9,760   2009   0.26             Endicott

 77   NANTICOKE DR       TWIST RUN RD-NYS 26                    4,890   2008   0.58               Union

321   NEWELL RD          PINE ST-TAFT AVE                       4,400   2009   0.47               Union

417   NORTH BROAD ST     HARRY L DR-BROWN ST                    5,400   2008   0.31        Johnson City

347   NORTH MAIN ST      END/VESTAL BR-NYS 434                 14,280   2011   0.40              Vestal

322   NORTH ST           MAIN ST-WILLIS AVE                     7,190   2008   0.08               Union

323   NORTH ST           WILLIS AVE-"VE LINE"                   7,190   2008   0.52               Union

370   NORTH ST           "VE LINE"-McKINLEY AVE                 7,280   2009   0.28             Endicott

371   NORTH ST           FILLMORE AVE-PARSONS AVE               8,480   2010   0.08             Endicott

372   NORTH ST           JEFFERSON AVE-FILLMORE AVE             8,480   2010   0.24             Endicott

373   NORTH ST           LODER AVE-NYS 26                       8,620   2010   0.17             Endicott

374   NORTH ST           McKINLEY AVE-JEFFERSON AVE             9,000   2000   0.31             Endicott

375   NORTH ST           MECHANIC AVE-LODER AVE                 8,620   2010   0.15             Endicott

376   NORTH ST           PARSONS AVE-MECHANIC AVE               8,030   1999   0.21             Endicott

 78   NOWLAN RD          CHENANGO ST-D&O RR XING                2,230   2010   0.26              Fenton

 79   NOWLAN RD          D&H RR XING-"TK LINE"                  1,380   2010   0.70              Fenton

 80   NOWLAN RD          D&O RR XING-D&H RR XING                2,230   2010   0.32              Fenton

324   OAK HILL AVE       "TU LINE"-BUFFALO ST                    720    2010   0.61               Union

377   OAK HILL AVE       CLARK ST-WATSON BLVD                   3,800   2010   0.15             Endicott

378   OAK HILL AVE       NORTH ST-CLARK ST                     11,870   1999   0.16             Endicott
 ID   NAME                SEGMENT                                      AADT     YEAR   LEN          LOCATION

379   OAK HILL AVE        PINE ST-"VE LINE"                              720    2010   0.26             Endicott

380   OAK HILL AVE        WATSON BLVD-PINE ST                           3,800   2011   0.38             Endicott

215   OAK ST              MAIN ST-RIVERSIDE DR                          1,690   2011   0.46    Binghamton (city)

457   OAK TREE LN         FARM-TO-MARKET RD - HARRINGTON RD              100       0   0.08               Maine

458   OAK TREE LN         HARRINGTON RD - FARM-TO-MARKET RD              100       0   0.19               Maine

 81   OAKDALE RD          "TU LINE"-TWINNING RD                         1,700   2010   0.54               Maine

 82   OAKDALE RD          "VJC LINE"-"TU LINE"                          1,700   2010   1.30               Union

 83   OAKDALE RD          NYS 17C-"VJC LINE" (near Endwell St.)         6,990   2008   0.12               Union

 84   OAKDALE RD          TWINNING RD-E. MAIN RD                        1,700   2010   0.62               Maine

418   OAKDALE RD          "VJC LINE"-"VJC LINE"                         6,990   2008   1.65        Johnson City

 85   OLD STATE RD        D&H RR XING (2nd track eastward)-"TD LINE"    1,770   2000   1.06           Dickinson

441   OLD STATE RD        NYS 7-D&H RR XING (2nd track eastward)        1,770   2000   0.05      Port Dickinson

 86   OLD VESTAL RD       AFRICAN RD-NYS 17WB ON RAMP                  11,960   2008   1.04              Vestal

 87   OLD VESTAL RD       BUNN HILL RD-JENSEN RD                       15,120   2008   1.13              Vestal

 88   OLD VESTAL RD       JENSEN RD-SYCAMORE RD                        11,330   2011   0.73              Vestal

 89   OLD VESTAL RD       MURRAY HILL RD-NYS 201 OVER                  10,020   2000   0.41              Vestal

 90   OLD VESTAL RD       NYS 17WB ONRAMP-N. MAIN ST                    5,520   1999   1.22              Vestal

 91   OLD VESTAL RD       NYS 201 OVER-BUNN HILL RD                    19,010   2010   0.21              Vestal

 92   OLD VESTAL RD       NYS 434-MURRAY HILL RD                        6,060   2008   0.46              Vestal

 93   OLD VESTAL RD       SYCAMORE RD-AFRICAN RD                       10,260   2010   0.45              Vestal

307   OWEGO RD            "TO LINE"-NY434                               2,070   2008   0.40       Owego (town)

348   OWEGO RD            NY434-TRACY CREEK RD                          2,070   2008   0.78              Vestal

349   OWEGO RD            TRACY CREEK RD-"TV LINE"                      2,070   2008   0.41              Vestal

381   PAGE AVE            W MAIN ST-"VE LINE"                           3,380   2010   0.33             Endicott

435   PAIGE ST.           FOX ST.-MAIN ST.                               820    2010   0.21      Owego (village)

 94   PARK AVE            BRIGHAM ST-"CB LINE"                          1,410   2010   0.36   Binghamton (town)

 95   PARK AVE            CARMAN RD-BRIGHAM ST                          1,410   2010   0.20   Binghamton (town)

 96   PARK AVE            PECKHAM RD-CARMAN RD                          1,410   2004   0.85   Binghamton (town)

216   PARK AVE            "CB LINE"-ROSS PARK ZOO ENT                   2,890   2010   0.26    Binghamton (city)

217   PARK AVE            MORGAN RD-VESTAL AVE                          5,300   2008   0.82    Binghamton (city)

218   PARK AVE            ROSS PARK ZOO ENT-MORGAN RD                   2,270   2010   0.09    Binghamton (city)

219   PENNSYLVANIA AVE    "CB LINE"-HOTCHKISS ST                        3,500   2000   0.63    Binghamton (city)

220   PENNSYLVANIA AVE    CROSS ST-VESTAL AVE                           9,320   2003   0.29    Binghamton (city)

221   PENNSYLVANIA AVE    HOTCHKISS ST-CROSS ST                         9,320   2009   0.22    Binghamton (city)

222   PENNSYLVANIA AVE    VESTAL AVE-NYS 434                           11,360   2002   0.10    Binghamton (city)

281   PENNSYLVANIA AVE.   NYS 434-WEST BARTON RD.                       6,070   2009   1.30       Owego (town)

282   PENNSYLVANIA AVE.   WEST BARTON RD.-LILLIE HILL RD.               4,670   2009   2.40       Owego (town)

 98   PIERCE CREEK RD     HAND RD-"CB LINE"                             1,890   2008   0.82   Binghamton (town)

 99   PIERCE CREEK RD     MURPHY RD-HAND RD                             1,890   2008   1.08   Binghamton (town)

 97   PIERCE CREEK RD.    GARDNER RD-MURPHY RD                          2,710   1999   0.30   Binghamton (town)

325   PINE ST             HAYES AVE-"VE LINE" (N. ADAMS AVE)            6,510   2000   0.17               Union

382   PINE ST             N.ADAMS AVE-OAK HILL AVE                      6,250   2010   0.38             Endicott

383   PINE ST             OAK HILL-ROBBLE AVE                           3,700   2007   0.21             Endicott

445   POPES RAVINE RD     KRAGER RD - "CB LINE"                          470    2010   0.43            Kirkwood

273   POPLAR HILL RD      RIVER RD-AIRPORT RD                            900    2010   1.17          Chenango

100   POWDERHOUSE RD      "TB LINE"-"CB LINE"                            870    2009   0.17   Binghamton (town)

101   POWDERHOUSE RD      "TB LINE"-"TV LINE"                            900    2009   0.72   Binghamton (town)

102   POWDERHOUSE RD      "TV LINE"-BROWN RD                             900    2009   0.92              Vestal

103   POWDERHOUSE RD      BROWN RD-HORAN RD                              900    2009   0.59              Vestal

104   POWDERHOUSE RD      FULLER HOLLOW RD-"TB LINE"                     870    2009   0.55              Vestal
 ID   NAME                SEGMENT                                      AADT     YEAR   LEN          LOCATION

105   POWDERHOUSE RD      FULLER HOLLOW RD(MURRAY HILL RD)-"TB LINE"     900    2009   0.59              Vestal

106   POWDERHOUSE RD      GARDNER RD-NYS 26                             1,170   2006   0.45              Vestal

107   POWDERHOUSE RD      HORAN RD-GARDNER RD                           1,210   2009   1.66              Vestal

108   POWERS RD           BROOME PKWY-NYS 7                             3,520   1999   0.33             Conklin

326   PRESCOTT AVE        BUFFALO ST-"TU LINE"                           830    2010   0.69               Union

384   PRESCOTT AVE        "VE LINE"-PINE ST                              830    2010   0.18             Endicott

109   PROSPECT ST         AIRPORT RD-"CB LINE"                          8,230   2009   0.25           Dickinson

223   PROSPECT ST         "CB LINE" (TRACY ST)-MYGATT ST                9,470   2010   1.04    Binghamton (city)

224   PROSPECT ST         KARLADA DR-FRONT ST                           4,010   2004   0.27    Binghamton (city)

225   PROSPECT ST         MYGATT ST-KARLADA DR                          4,010   2010   0.32    Binghamton (city)

350   RANO BLVD           NY434-LYNNHURST DR                            3,750   2011   0.42              Vestal

110   REYNOLDS RD         DEYO HILL RD-EAST MAINE RD                    2,480   2010   0.53               Union

419   REYNOLDS RD         HARRY L DR-LOU RENE CR                       15,860   2010   0.49        Johnson City

420   REYNOLDS RD         LOU RENE CR-DEYO HILL RD                      7,620   2000   1.13        Johnson City

111   RIVER RD            AVALON ST-CR 153 (KATTELVILLE RD)             6,440   2009   1.22          Chenango

112   RIVER RD            CR 96 (SOUTH RT TURN)-AVALON ST               1,200   2009   1.20          Chenango

113   RIVER RD            CR96 (NORTH RT TURN)-CR 96 (SOUTH RT TURN)     490    2009   1.49          Chenango

114   RIVER RD            NYS 12-CR 96 (NORTH RIGHT TURN)               3,980   2009   1.34          Chenango

226   RIVERSIDE DR        "CB LINE"-WEST END AVE                       15,660   1999   0.15    Binghamton (city)

227   RIVERSIDE DR        BEETHOVEN ST-OAK ST                          14,600   2011   0.65    Binghamton (city)

228   RIVERSIDE DR        FRONT ST-WASHINGTON ST                       22,070   2005   0.22    Binghamton (city)

229   RIVERSIDE DR        HELEN ST-BEETHOVEN ST                        13,210   2003   0.31    Binghamton (city)

230   RIVERSIDE DR        OAK ST-FRONT ST                              13,890   2003   0.14    Binghamton (city)

231   RIVERSIDE DR        WEST END AVE-HELEN ST                        13,230   2011   0.42    Binghamton (city)

327   RIVERSIDE DR        MAIN ST-"TU LINE"                             3,290   2010   0.23               Union

421   RIVERSIDE DR        "VJC LINE"-E THOMAS ST                        1,720   2010   0.29        Johnson City

385   ROBBLE AVE          PINE ST-CLARK ST/E. FRANKLIN                  3,790   2009   0.56             Endicott

232   ROBINSON ST         BIGELOW ST-BROAD AVE                          3,940   2011   0.41    Binghamton (city)

233   ROBINSON ST         BROAD AVE-NYS 7                               9,430   2011   0.49    Binghamton (city)

234   ROBINSON ST         FAIRVIEW AVE-BIGELOW ST                       5,990   2003   0.24    Binghamton (city)

235   ROBINSON ST         GARDEN ST-SUNSET AVE                          1,270   2010   0.26    Binghamton (city)

236   ROBINSON ST         NYS 7-CHENANGO ST                             3,630   2011   0.31    Binghamton (city)

237   ROBINSON ST         SUNSET AVE-FAIRVIEW AVE                       2,010   2003   0.05    Binghamton (city)

328   S GRIPPEN AVE       W MAIN ST-GRIPPEN PARK ENTRANCE                700    2010   0.38               Union

238   S WASHINGTON ST     MORGAN RD-SHERWOOD AVE                        2,830   2011   0.28    Binghamton (city)

239   S WASHINGTON ST     NYS 434-CONKLIN AVE                           1,600   2007   0.07    Binghamton (city)

240   S WASHINGTON ST     SHERWOOD AVE-VESTAL AVE                       4,720   2002   0.60    Binghamton (city)

241   S WASHINGTON ST     VESTAL AVE-NYS 434                           12,500   1999   0.07    Binghamton (city)

352   SHEEDY RD.          NYS 26-BUNN HILL RD.                           890    2010   1.38              Vestal

115   SMITH HILL RD       FRONT ST-GLENWOOD RD                          2,350   2005   1.55          Chenango

286   SOUTHSIDE DR        NY 96 (NY 17 EXIT 64) - "VO LINE"              790    2009   0.50      Owego (village)

460   SPAULDING HILL RD   CR906/GLEN MARY DR - CREEK                     500       0   0.21               Tioga

271   SPAULDING RD        MILL RD-MORGAN RD                              200    2008   0.34   Binghamton (town)

283   STANTON HILL RD     SULPHER SPRINGS RD-EAST RIVER DR               520    2009   2.93             Nichols

440   STATE RD            CHENANGO ST-NY7                               1,470   2010   0.15      Port Dickinson

242   STATE ST            COURT ST-HENRY ST                             5,870   2009   0.13    Binghamton (city)

243   STATE ST            HENRY ST-LEWIS ST                             4,570   2002   0.18    Binghamton (city)

244   STATE ST            LEWIS ST-WEST STATE ST                        4,980   2002   0.34    Binghamton (city)

454   STRATMILL RD        COLESVILLE RD-WOODLAWN DR (NORTH END)         2,380   2009   1.06            Kirkwood

455   STRATMILL RD        WOODLAWN DR (NORTH END) - 0.16 MILES          1,520   2003   0.16            Kirkwood
 ID   NAME                   SEGMENT                                       AADT     YEAR   LEN         LOCATION

284   SULPHUR SPRINGS RD     "TN LINE"-STANTON HILL RD.                      790    2009   0.07            Nichols

285   SULPHUR SPRINGS RD     "VO LINE"-WAITS RD                              790    2009   0.54      Owego (town)

443   SULPHUR SPRINGS RD     WAITS RD-"TN LINE"                              790    2009   0.22      Owego (town)

353   SYCAMORE RD            NY434-OLD VESTAL RD                            9,630   2010   0.35             Vestal

116   TAFT AVE               COUNTRY CLUB RD-HOOPER RD                      6,380   2010   1.22              Union

117   TAFT AVE               HOOPER RD-TWIST RUN RD                         4,320   2010   1.09              Union

436   TALCOTT ST.            NORTH AVE.-"VO LINE"                           5,430   2008   0.58    Owego (village)

287   TAYLOR RD.             "VO LINE"-BODLE HILL RD                        4,320   2009   1.03      Owego (town)

118   TRACY CREEK RD         OWEGO RD-ROCKWELL RD                            770    2000   1.25             Vestal

119   TRACY CREEK RD.        ROCKWELL RD.-BAKER HILL RD.                    1,430   2006   1.63             Vestal

245   TREMONT AVE            VESTAL AVE-CONKLIN AVE                         3,270   2008   0.17   Binghamton (city)

120   TRIM ST                US 11-I81 OVERPASS                             1,150   2010   0.27           Kirkwood

451   TRIM ST                I81 OVERPASS - LANGDON PARK DR                 1,150   2010   0.19           Kirkwood

452   TRIM ST                LANGDEN PARK DR - ZIMMER RD                    1,150   2010   0.09           Kirkwood

453   TRIM ST                ZIMMER RD - KIRKWOOD TOWN LINE                 1,150   2010   1.53           Kirkwood

121   TWIST RUN RD           HILLSIDE TERR-FRM TO MRKT RD                   1,340   2010   0.68              Union

122   TWIST RUN RD           NANTICOKE DR-TAFT AVE                          5,300   2010   0.68              Union

123   TWIST RUN RD           TAFT AVE-HILLSIDE TERR                         1,570   2008   0.69              Union

246   VESTAL AVE             EDGEBROOK RD-IVANHOE RD                        5,050   2011   0.39   Binghamton (city)

247   VESTAL AVE             IVANHOE RD-JUTLAND RD                          5,900   2003   0.13   Binghamton (city)

248   VESTAL AVE             JUTLAND RD-NYS 434                             5,240   1999   0.52   Binghamton (city)

249   VESTAL AVE             MILL ST-S WASHINGTON ST                        3,010   2011   0.35   Binghamton (city)

250   VESTAL AVE             PENNSYLVANIA AVE-EDGEBROOK RD                  7,760   1999   0.66   Binghamton (city)

251   VESTAL AVE             S WASHINGTON ST-PENN. AVE                      9,640   2011   0.19   Binghamton (city)

386   VESTAL AVE             MAIN ST-NORTH ST                               4,920   2008   0.48            Endicott

387   VESTAL AVE             MAIN ST-RIVER TERR                            14,870   2002   0.12            Endicott

388   VESTAL AVE             RIVER TERR-END/VESTAL BR                      16,990   2007   0.03            Endicott

389   W FRANKLIN ST          NY26-N PAGE AVE                                2,680   2010   0.42            Endicott

296   W. ARTERIAL HWY.       NYS 12A -"TF LINE"(N. "VPD" LINE)              5,210   2010   1.89             Fenton

442   W. ARTERIAL HWY.       "TF LINE"(N. "VPD LINE")-CHENANGO ST           5,210   2010   0.17     Port Dickinson

390   WASHINGTON AVE         MAIN ST-NORTH ST                               4,480   2009   0.41            Endicott

252   WASHINGTON ST          N SHORE DR-HAWLEY ST                           3,490   2010   0.26   Binghamton (city)

253   WASHINGTON ST          WASHINGTON ST BR-N.SHORE DR                       0       0   0.03   Binghamton (city)

255   WASHINGTON ST          EAST CLINTON ST-LEWIS ST                       4,400   2010   0.04   Binghamton (city)

254   WASHINGTON ST BR       CONKLIN AVE-WASHINGTON ST                         0       0   0.12   Binghamton (city)

256   WATER ST               E CLINTON ST-ELDREDGE ST                       3,800   2011   0.26   Binghamton (city)

257   WATER ST               COURT ST-HENRY ST                              5,540   2008   0.15   Binghamton (city)

258   WATER ST               HENRY ST-EAST CLINTON ST                       8,020   1990   0.13   Binghamton (city)

126   WATSON BLVD            "VJC LINE"-CR 56 (CLOSE TO WILKENS RD)         9,130   2010   0.11              Union

127   WATSON BLVD            CR 56 (CLOSE TO WILKENS RD)-COUNTRY CLUB RD    9,130   2010   0.95              Union

128   WATSON BLVD            GROVELAND AVE-COUNTRY CLUB RD                  3,720   2009   0.61              Union

129   WATSON BLVD            HOOPER RD-GROVELAND AVE                        4,790   2001   0.41              Union

329   WATSON BLVD            "VE LINE"-HOOPER ROAD                          8,100   2010   1.00              Union

391   WATSON BLVD            N.JACKSON AVE-TAFT AVE                         8,560   2002   0.10            Endicott

392   WATSON BLVD            N.McKINLEY AVE-N.ROOSEVELT AVE                 6,900   2003   0.06            Endicott

393   WATSON BLVD            N.ROGERS AVE-N.McKINLEY AVE                    5,090   2009   0.04            Endicott

394   WATSON BLVD            N.ROOSEVELT AVE-N.JACKSON AVE                  6,900   2003   0.18            Endicott

395   WATSON BLVD            OAK HILL AVE-N.ROGERS AVE                      5,090   2009   0.21            Endicott

396   WATSON BLVD            TAFT AVE-"VE LINE"                             8,100   2010   0.07            Endicott

308   WEST BEECHER HILL RD   "VO LINE"(TALCOTT ST)-GLEN MARY DR             5,430   2008   0.06              Tioga
 ID   NAME                         SEGMENT                                               AADT     YEAR   LEN         LOCATION

124   WEST CHENANGO RD             COMMERCIAL RD (TOWN LINE)-TREADWELL RD                 1,390   2010   1.57         Chenango

125   WEST CHENANGO RD             TREADWELL RD-US 11                                     1,570   2010   2.00         Chenango

259   WEST END AVE                 HIGHLAND AVE-FLORAL AVE                                2,320   1999   0.69   Binghamton (city)

260   WEST END AVE                 LEROY ST-HIGHLAND AVE                                  2,220   2007   0.14   Binghamton (city)

261   WEST END AVE                 RIVERSIDE DR-LEROY ST                                  2,030   2001   0.09   Binghamton (city)

354   WEST SHEEDY RD               JUNEBERRY RD-NYS 26                                    1,790   2010   0.21             Vestal

262   WEST STATE ST                CHENANGO ST / STATE ST (@ Irving Ave.)-FREDERICK ST    7,090   2010   0.04   Binghamton (city)

263   WEST STATE ST                FREDERICK ST-CHENANGO ST                              14,350   1991   0.09   Binghamton (city)

264   WEST STATE ST                STATE ST-CHENANGO ST                                   6,250   2009   0.30   Binghamton (city)

422   WILLOW AVE                   CORLISS AVE-GRAND AVE                                  1,990   2009   0.18       Johnson City




      AADT = Average Annual Daily Traffic (Vehicles per Day).


      YEAR = Year count was taken; 0 indicates AADT estimated from BMTS Turning
      Movement Count or other source.


      LEN = Length of road segment.in miles.


      LOCATION = Municipality where road segment is located.

